	OS115	AP114	JJ415	OT115	JJ515	OS615	OJ615	JT415	JP315	OJ514	OJ515	OJ415	AS114	JS415	JP414	OT515	JJ114	OT415	OT414	JP515	JT115	AJ414	OP315	OS214	JT314	OP515	AT414	OS415	OP615	OP614	JS115
JT115	0.596601077288	0.28965847594	0.314609488122	0.455553684713	0.406092737926	0.65744596574	0.520618957435	0.124655324228	0.417241931769	0.335011441882	0.494112912411	0.502683163286	0.410128745623	0.491164908996	0.478578129576	0.499155211667	0.535113906942	0.430941477473	0.342305479904	0.438043429497	0.0	0.532316159032	0.474401409763	0.378743361208	0.379488482595	0.480910884864	0.501208094852	0.682147010041	0.632279338523	0.420697729969	0.28132549958
AJ414	0.456955907578	0.506881999769	0.452720315403	0.361159786163	0.618687414856	0.37730189965	0.54955011748	0.493036367082	0.348228822015	0.383192671084	0.507160604763	0.508509956885	0.385755808328	0.467031026071	0.533318945571	0.294242955525	0.655005314101	0.327198689198	0.437775389913	0.291526744987	0.532316159032	0.0	0.346323361208	0.360424687057	0.583035069012	0.374659069707	0.626631767991	0.450346158164	0.444233629445	0.341679687202	0.418296912526
OP315	0.435149331578	0.456987436847	0.347729670419	0.326473048699	0.551299402471	0.421728752279	0.489716948118	0.429755478746	0.291907314448	0.310601506409	0.441103891895	0.438170721954	0.26036669811	0.294623418791	0.439224761712	0.360717465204	0.600135744379	0.268757138227	0.36007104488	0.307334279348	0.474401409763	0.346323361208	0.0	0.3054900952	0.504015322492	0.169987952487	0.565103028733	0.481724387858	0.415814566394	0.188561348129	0.310387642582
OS214	0.523064293816	0.455867546225	0.274238677624	0.322258830695	0.440790148731	0.563136134437	0.284851925982	0.364957111317	0.372941093782	0.221168338783	0.250114963975	0.255862243699	0.16649876096	0.288063910703	0.478554805984	0.394979236668	0.471337264678	0.302351838306	0.31354244683	0.355250015336	0.378743361208	0.360424687057	0.3054900952	0.0	0.513812913279	0.357346703608	0.371048973929	0.57923579849	0.568758936312	0.165994349663	0.311285640209
JT314	0.461353130588	0.364765084059	0.475182621893	0.538627834717	0.559315140484	0.604789802946	0.687140226858	0.396400082178	0.46662319772	0.462535176654	0.661685614456	0.667029010967	0.552619561041	0.619199994213	0.335787013224	0.549600233514	0.681471454614	0.510026061229	0.24382233369	0.485462457536	0.379488482595	0.583035069012	0.504015322492	0.513812913279	0.0	0.526585123991	0.661394483058	0.636958387974	0.545418400127	0.546639257502	0.433858547701
OP515	0.465605769264	0.454561066003	0.39731443242	0.375826620562	0.575143031338	0.459932484736	0.541952785092	0.450347552302	0.331704122515	0.35344777945	0.49659859342	0.493480948233	0.325225319309	0.360674027605	0.473901309934	0.373870291675	0.632084136694	0.315241731821	0.391732682948	0.295685634712	0.480910884864	0.374659069707	0.169987952487	0.357346703608	0.526585123991	0.0	0.611075939697	0.522542692497	0.4410984036	0.26564122573	0.329624241732
AT414	0.763682812003	0.629406401227	0.37876890101	0.445143353106	0.396742575306	0.786944678376	0.186328351515	0.492375387598	0.601743728406	0.388863148529	0.224013866431	0.231469828699	0.417184379467	0.551002644174	0.69136773836	0.543495523887	0.318589459186	0.471732054458	0.49273695622	0.57638072369	0.501208094852	0.626631767991	0.565103028733	0.371048973929	0.661394483058	0.611075939697	0.0	0.794071807923	0.809664440811	0.44236180445	0.530714567841
OS415	0.300979444718	0.646203318672	0.643689542521	0.54312505194	0.775088244162	0.462599893226	0.730780959808	0.656904248676	0.46129383084	0.57566781562	0.689130005498	0.691907916896	0.601533221447	0.666518065048	0.655645881536	0.497058754015	0.826913715964	0.531320023728	0.539911368963	0.420061826442	0.682147010041	0.450346158164	0.481724387858	0.57923579849	0.636958387974	0.522542692497	0.794071807923	0.0	0.451487405886	0.572385715154	0.56783595648
OP615	0.406894938222	0.538248396944	0.626002163836	0.545781750919	0.771625832055	0.465455977604	0.742056796493	0.612193001244	0.332770355624	0.558097409069	0.695870441853	0.691311466188	0.579390952284	0.599709780086	0.513712853381	0.484728246766	0.834458220724	0.49092327903	0.483090846957	0.325218598918	0.632279338523	0.444233629445	0.415814566394	0.568758936312	0.545418400127	0.4410984036	0.809664440811	0.451487405886	0.0	0.528568822883	0.503749974247
OP614	0.531626243815	0.488071653694	0.252487171793	0.330004021528	0.475429242744	0.498405281403	0.346639037588	0.402580281837	0.369235582337	0.226355829451	0.297478910559	0.290451529558	0.125887366243	0.193708363089	0.474323510229	0.376514134379	0.505134072166	0.25970699702	0.35841744466	0.349087590787	0.420697729969	0.341679687202	0.188561348129	0.165994349663	0.546639257502	0.26564122573	0.44236180445	0.572385715154	0.528568822883	0.0	0.293612419051
JS115	0.440647976793	0.353119106166	0.275849229434	0.39923155155	0.438347454209	0.549584893949	0.496368189184	0.280294539483	0.281507771058	0.309741685234	0.458942927747	0.457633064035	0.297482927168	0.357769879047	0.396367892011	0.433418766747	0.554628785266	0.351692800139	0.33104174137	0.311849572036	0.28132549958	0.418296912526	0.310387642582	0.311285640209	0.433858547701	0.329624241732	0.530714567841	0.56783595648	0.503749974247	0.293612419051	0.0
